soil_moisture,air_humidity,air_temp,crop_type,water
87,61,29,pomelo,25
22,71,28,pomelo,39
46,4,21,pomelo,41
16,85,24,pomelo,38
11,46,33,pomelo,10
63,60,23,pomelo,12
29,95,30,pomelo,36
72,5,36,pomelo,26
81,11,28,pomelo,14
62,66,33,pomelo,10
29,8,35,pomelo,10
87,89,34,pomelo,17
67,29,20,pomelo,10
63,30,36,pomelo,26
29,84,22,pomelo,13
39,27,30,pomelo,35
23,14,36,pomelo,23
19,43,43,pomelo,18
56,54,33,pomelo,32
78,40,56,pomelo,49
32,67,33,pomelo,25
80,11,43,pomelo,27
45,32,22,pomelo,36
56,45,30,pomelo,38
34,92,45,pomelo,14
87,57,65,pomelo,22
43,76,36,pomelo,30
36,11,65,pomelo,18
56,25,54,pomelo,27
70,43,76,pomelo,44
86,21,45,pomelo,42
54,43,25,pomelo,45
55,34,44,pomelo,18
56,43,32,pomelo,35
78,33,26,pomelo,24
53,21,11,pomelo,17
31,67,11,pomelo,44
9,33,23,pomelo,27
43,72,34,pomelo,40
68,22,23,pomelo,17
42,56,34,pomelo,38
70,44,36,pomelo,18
44,67,88,pomelo,49
67,56,37,pomelo,44
87,88,0,pomelo,14
27,64,30,pomelo,36
30,43,28,pomelo,14
98,2,38,pomelo,33
59,45,31,pomelo,21
27,90,28,pomelo,29
34,36,37,pomelo,42
82,21,27,pomelo,43
20,81,36,pomelo,49
38,29,20,pomelo,13
31,50,22,pomelo,20
64,92,24,pomelo,19
49,17,22,pomelo,27
61,2,28,pomelo,25
90,49,35,pomelo,13
31,39,36,pomelo,43
41,38,29,pomelo,18
44,18,39,pomelo,46
17,98,25,pomelo,18
54,32,33,pomelo,18
65,94,36,pomelo,47
16,16,24,pomelo,47
55,75,30,pomelo,30
49,75,27,pomelo,17
66,73,21,pomelo,30
30,53,30,pomelo,50
7,79,30,pomelo,15
43,81,31,pomelo,16
90,21,21,pomelo,42
24,72,39,pomelo,12
47,93,33,pomelo,16
39,94,30,pomelo,30
20,69,20,pomelo,26
24,38,30,pomelo,22
93,21,31,pomelo,14
12,16,35,pomelo,49
45,2,27,pomelo,24
75,68,21,pomelo,47
66,74,34,pomelo,45
27,53,32,pomelo,42
35,36,20,pomelo,13
70,16,24,pomelo,27
51,66,31,pomelo,34
17,45,29,pomelo,11
10,26,34,pomelo,49
51,12,38,pomelo,41
93,44,24,pomelo,34
45,91,30,pomelo,32
37,60,38,pomelo,12
33,18,34,pomelo,19
90,46,34,pomelo,47
80,35,21,pomelo,24
83,0,28,pomelo,33
68,44,32,pomelo,47
38,62,23,pomelo,29
71,66,37,pomelo,22
21,93,23,pomelo,45
89,54,37,pomelo,32
14,33,27,pomelo,26
38,85,22,pomelo,13
16,6,25,pomelo,16
72,33,29,pomelo,36
4,41,37,pomelo,19
6,33,27,pomelo,26
36,91,24,pomelo,41
66,84,36,pomelo,13
51,59,20,pomelo,49
61,12,28,pomelo,32
34,8,30,pomelo,40
64,65,37,pomelo,26
63,41,29,pomelo,29
6,68,36,pomelo,49
34,17,31,pomelo,29
40,48,36,pomelo,20
25,93,36,pomelo,18
79,15,30,pomelo,38
94,81,29,pomelo,49
11,26,31,pomelo,29
65,76,29,pomelo,38
25,74,36,pomelo,37
82,93,20,pomelo,33
67,64,28,pomelo,13
48,58,34,pomelo,14
62,95,37,pomelo,16
49,56,26,pomelo,22
54,9,37,pomelo,16
23,3,32,pomelo,39
9,44,25,pomelo,48
30,88,26,pomelo,13
58,23,35,pomelo,15
41,41,28,pomelo,47
96,79,35,pomelo,21
1,66,24,pomelo,21
39,29,28,pomelo,47
17,1,20,pomelo,37
78,42,29,pomelo,36
81,46,34,pomelo,40
93,2,37,pomelo,26
50,74,23,pomelo,20
93,96,33,pomelo,46
95,16,21,pomelo,10
98,97,31,pomelo,11
63,6,22,pomelo,42
93,28,36,pomelo,38
28,50,23,pomelo,45
90,2,27,pomelo,29
20,71,25,pomelo,13
1,27,28,pomelo,38
66,7,25,pomelo,45
49,17,34,pomelo,37
69,15,37,pomelo,39
73,51,20,pomelo,33
31,59,31,pomelo,31
68,37,22,pomelo,15
68,69,37,pomelo,30
78,89,37,pomelo,28
73,70,24,pomelo,31
0,55,21,pomelo,25
19,62,34,pomelo,15
24,26,26,pomelo,19
41,82,28,pomelo,39
71,85,26,pomelo,33
96,24,36,pomelo,12
31,0,20,pomelo,24
31,65,27,pomelo,21
84,68,27,pomelo,37
4,27,31,pomelo,11
52,9,30,pomelo,10
52,30,36,pomelo,45
44,33,23,pomelo,33
47,86,29,pomelo,28
58,86,26,pomelo,41
27,46,20,pomelo,37
59,59,39,pomelo,23
41,62,29,pomelo,33
11,80,23,pomelo,42
68,53,26,pomelo,11
94,31,33,pomelo,28
65,71,33,pomelo,32
2,25,27,pomelo,45
41,51,22,pomelo,15
79,92,28,pomelo,12
97,91,20,pomelo,23
91,22,30,pomelo,49
33,11,22,pomelo,49
1,41,34,pomelo,22
23,78,37,pomelo,20
0,98,20,pomelo,23
55,9,39,pomelo,50
64,32,31,pomelo,38
62,86,21,pomelo,36
85,29,26,pomelo,42
4,36,35,pomelo,36
78,11,22,pomelo,36
64,47,28,pomelo,50
13,28,25,pomelo,11
18,8,28,pomelo,24
33,71,30,pomelo,27
5,2,31,pomelo,11
38,27,36,pomelo,21
71,85,34,pomelo,50
4,15,30,pomelo,34
29,90,32,pomelo,10
80,49,21,pomelo,47
13,5,34,pomelo,34
58,14,33,pomelo,25
78,47,36,pomelo,28
42,89,29,pomelo,41
66,18,22,pomelo,43
29,2,36,pomelo,14
87,45,37,pomelo,29
15,53,29,pomelo,40
35,22,25,pomelo,45
1,34,31,pomelo,33
70,39,22,pomelo,11
40,99,38,pomelo,14
57,85,30,pomelo,10
82,76,34,pomelo,23
23,4,37,pomelo,29
28,13,31,pomelo,38
1,11,21,pomelo,40
50,67,22,pomelo,25
40,93,36,pomelo,31
46,66,38,pomelo,34
89,21,26,pomelo,30
32,17,27,pomelo,30
42,43,28,pomelo,30
34,35,20,pomelo,16
90,89,33,pomelo,18
39,25,31,pomelo,43
1,76,34,pomelo,15
87,99,34,pomelo,50
75,92,21,pomelo,34
66,81,39,pomelo,37
79,61,26,pomelo,10
14,83,28,pomelo,10
89,32,36,pomelo,18
51,14,23,pomelo,15
5,61,25,pomelo,20
1,47,37,pomelo,13
68,46,21,pomelo,46
92,70,35,pomelo,20
90,89,26,pomelo,40
66,88,28,pomelo,20
28,97,20,pomelo,43
57,74,36,pomelo,21
26,49,21,pomelo,22
75,96,35,pomelo,26
50,16,23,pomelo,38
58,68,33,pomelo,15
76,25,23,pomelo,20
69,32,30,pomelo,32
22,95,32,pomelo,38
77,73,21,pomelo,39
66,61,32,pomelo,33
9,5,32,pomelo,46
91,7,25,pomelo,27
18,70,35,pomelo,11
13,37,34,pomelo,34
8,95,38,pomelo,24
88,66,23,pomelo,30
61,8,38,pomelo,42
31,89,36,pomelo,33
87,96,39,pomelo,10
37,21,22,pomelo,46
54,76,34,pomelo,47
84,24,21,pomelo,10
38,85,38,pomelo,35
55,92,37,pomelo,15
93,69,31,pomelo,36
93,94,38,pomelo,27
95,50,30,pomelo,48
60,6,29,pomelo,27
80,32,27,pomelo,48
85,93,20,pomelo,41
92,17,30,pomelo,31
98,60,21,pomelo,44
82,3,20,pomelo,16
95,51,25,pomelo,20
85,28,23,pomelo,24
33,53,23,pomelo,43
81,36,30,pomelo,28
13,46,33,pomelo,31
34,26,35,pomelo,34
72,7,33,pomelo,11
74,17,37,pomelo,30
18,56,32,pomelo,13
1,76,29,pomelo,15
14,24,38,pomelo,35
4,3,39,pomelo,26
21,82,23,pomelo,22
84,58,39,pomelo,47
21,63,24,pomelo,43
48,1,23,pomelo,44
34,27,31,pomelo,41
92,38,28,pomelo,34
55,13,31,pomelo,21
50,46,21,pomelo,38
65,82,29,pomelo,47
5,79,29,pomelo,48
32,66,38,pomelo,26
48,8,34,pomelo,21
25,40,31,pomelo,44
37,26,20,pomelo,18
70,49,24,pomelo,22
24,25,29,pomelo,13
92,63,39,pomelo,13
5,36,31,pomelo,37
11,57,22,pomelo,27
30,94,33,pomelo,47
42,91,29,pomelo,45
15,79,29,pomelo,39
88,46,37,pomelo,45
17,92,34,pomelo,18
47,18,28,pomelo,49
13,52,25,pomelo,20
71,60,35,pomelo,28
65,62,26,pomelo,29
20,1,31,pomelo,42
48,80,34,pomelo,40
41,81,29,pomelo,14
92,1,21,pomelo,27
39,84,21,pomelo,26
21,67,34,pomelo,27
31,58,21,pomelo,18
88,77,35,pomelo,14
23,18,39,pomelo,39
74,99,30,pomelo,39
10,2,37,pomelo,32
14,82,28,pomelo,10
59,26,27,pomelo,27
61,99,26,pomelo,16
54,9,32,pomelo,45
37,53,39,pomelo,26
86,70,27,pomelo,34
21,47,20,pomelo,23
99,78,26,pomelo,23
14,54,34,pomelo,19
94,71,33,pomelo,19
11,17,26,pomelo,27
54,89,34,pomelo,32
69,48,23,pomelo,30
39,36,23,pomelo,16
71,91,31,pomelo,43
57,42,24,pomelo,11
92,96,21,pomelo,25
8,4,29,pomelo,15
34,34,29,pomelo,28
55,31,34,pomelo,49
37,45,28,pomelo,31
89,68,38,pomelo,25
86,80,33,pomelo,15
10,87,35,pomelo,33
62,62,28,pomelo,40
99,88,25,pomelo,29
3,39,29,pomelo,15
22,92,34,pomelo,16
51,31,33,pomelo,32
11,35,35,pomelo,26
81,90,34,pomelo,26
93,90,30,pomelo,44
67,63,26,pomelo,28
14,51,22,pomelo,30
75,84,22,pomelo,28
82,87,24,pomelo,25
18,96,26,pomelo,16
69,45,26,pomelo,25
41,92,37,pomelo,38
68,98,22,pomelo,23
68,45,36,pomelo,27
18,1,39,pomelo,46
23,82,24,pomelo,25
97,13,37,pomelo,29
43,99,35,pomelo,36
55,89,27,pomelo,19
38,10,22,pomelo,40
83,25,30,pomelo,13
36,46,29,pomelo,39
13,65,39,pomelo,31
5,24,37,pomelo,45
44,51,30,pomelo,49
17,91,25,pomelo,32
12,76,22,pomelo,39
49,89,24,pomelo,26
35,78,23,pomelo,10
90,92,29,pomelo,20
50,90,37,pomelo,48
79,37,26,pomelo,13
62,21,39,pomelo,27
53,89,28,pomelo,26
81,82,32,pomelo,30
91,39,20,pomelo,34
16,86,29,pomelo,44
47,57,39,pomelo,16
2,82,23,pomelo,29
86,33,24,pomelo,28
79,30,36,pomelo,48
72,36,23,pomelo,28
55,44,26,pomelo,18
44,82,35,pomelo,21
31,40,27,pomelo,17
50,41,25,pomelo,40
6,84,28,pomelo,19
21,35,21,pomelo,34
10,30,21,pomelo,17
55,8,22,pomelo,22
35,45,35,pomelo,22
21,82,28,pomelo,37
52,14,32,pomelo,48
48,72,21,pomelo,30
68,21,30,pomelo,39
55,34,30,pomelo,37
2,55,36,pomelo,37
70,26,38,pomelo,22
87,33,37,pomelo,14
99,98,39,pomelo,17
99,31,34,pomelo,18
14,33,28,pomelo,30
61,46,25,pomelo,50
23,97,20,pomelo,43
39,28,24,pomelo,49
55,24,35,pomelo,40
21,20,32,pomelo,20
60,85,24,pomelo,43
9,87,20,pomelo,11
83,95,36,pomelo,15
32,52,33,pomelo,33
20,57,23,pomelo,34
48,96,38,pomelo,24
90,38,30,pomelo,25
30,56,22,pomelo,35
6,75,26,pomelo,45
17,58,34,pomelo,24
24,7,33,pomelo,37
94,80,36,pomelo,22
31,23,39,pomelo,14
37,19,28,pomelo,24
76,12,38,pomelo,25
12,20,22,pomelo,40
5,56,24,pomelo,21
80,78,35,pomelo,14
30,60,36,pomelo,46
84,58,23,pomelo,17
41,11,34,pomelo,13
55,99,22,pomelo,36
38,30,20,pomelo,19
59,35,30,pomelo,13
63,69,31,pomelo,38
13,53,22,pomelo,36
98,29,20,pomelo,22
73,71,21,pomelo,45
21,24,28,pomelo,28
14,19,28,pomelo,41
13,8,38,pomelo,28
24,18,26,pomelo,20
54,11,21,pomelo,24
96,17,20,pomelo,21
24,29,24,pomelo,21
99,79,30,pomelo,50
13,96,35,pomelo,40
32,84,31,pomelo,41
62,4,26,pomelo,16
78,73,24,pomelo,24
26,73,23,pomelo,19
45,57,37,pomelo,47
52,33,24,pomelo,40
62,23,24,pomelo,18
46,32,31,pomelo,50
91,10,21,pomelo,16
95,28,35,pomelo,43
3,79,35,pomelo,19
67,35,24,pomelo,43
80,99,23,pomelo,49
96,11,39,pomelo,32
24,91,30,pomelo,45
56,1,21,pomelo,16
20,6,30,pomelo,39
63,48,38,pomelo,23
38,42,33,pomelo,43
52,59,22,pomelo,33
43,51,33,pomelo,24
50,26,28,pomelo,18
29,13,35,pomelo,50
10,2,22,pomelo,47
61,68,31,pomelo,24
17,31,30,pomelo,28
94,82,26,pomelo,38
34,5,25,pomelo,45
48,79,36,pomelo,37
74,75,22,pomelo,26
21,28,23,pomelo,46
27,97,39,pomelo,44
97,88,34,pomelo,40
6,40,20,pomelo,19
34,38,36,pomelo,10
87,43,36,pomelo,44
98,84,28,pomelo,21
52,27,33,pomelo,40
57,45,36,pomelo,34
62,18,34,pomelo,30
59,81,24,pomelo,14
87,14,32,pomelo,46
92,53,25,pomelo,31
50,16,34,pomelo,15
85,79,35,pomelo,38
11,80,31,pomelo,32
49,5,36,pomelo,13
33,69,29,pomelo,47
40,56,27,pomelo,48
58,65,30,pomelo,26
79,18,27,pomelo,20
38,68,33,pomelo,46
98,28,32,pomelo,40
68,25,20,pomelo,16
46,69,20,pomelo,21
13,36,34,pomelo,29
62,71,21,pomelo,21
71,72,29,pomelo,45
67,84,32,pomelo,28
22,27,39,pomelo,23
59,74,35,pomelo,31
55,92,28,pomelo,43
94,84,37,pomelo,50
56,77,30,pomelo,25
7,55,37,pomelo,27
34,4,36,pomelo,50
42,30,26,pomelo,47
61,72,37,pomelo,37
22,97,22,pomelo,48
43,10,21,pomelo,17
95,53,30,pomelo,36
79,14,21,pomelo,14
48,13,23,pomelo,26
55,38,28,pomelo,42
47,0,33,pomelo,30
31,4,29,pomelo,46
71,48,36,pomelo,30
59,33,36,pomelo,50
36,7,22,pomelo,32
3,1,38,pomelo,22
9,92,36,pomelo,15
2,48,21,pomelo,26
13,52,27,pomelo,33
48,5,39,pomelo,42
52,23,29,pomelo,13
53,37,33,pomelo,33
31,96,37,pomelo,10
85,84,35,pomelo,49
54,33,33,pomelo,18
4,27,20,pomelo,36
15,11,24,pomelo,48
72,77,27,pomelo,41
60,72,27,pomelo,39
34,3,35,pomelo,40
57,38,36,pomelo,10
55,87,31,pomelo,49
55,52,23,pomelo,40
69,19,21,pomelo,24
7,83,32,pomelo,29
6,70,28,pomelo,36
52,85,28,pomelo,33
34,12,21,pomelo,22
74,33,37,pomelo,30
5,42,30,pomelo,48
61,32,37,pomelo,41
66,48,35,pomelo,32
23,57,31,pomelo,17
72,91,25,pomelo,45
51,29,33,pomelo,19
85,3,29,pomelo,44
72,8,31,pomelo,32
33,91,32,pomelo,26
84,47,38,pomelo,36
57,51,30,pomelo,25
31,58,39,pomelo,15
46,18,24,pomelo,24
34,80,37,pomelo,30
17,26,32,pomelo,25
79,27,29,pomelo,33
13,48,36,pomelo,13
21,39,20,pomelo,26
59,49,25,pomelo,35
13,79,29,pomelo,14
34,75,32,pomelo,44
9,78,39,pomelo,42
13,35,28,pomelo,20
46,7,24,pomelo,42
79,75,31,pomelo,48
41,66,36,pomelo,42
76,13,25,pomelo,31
15,37,21,pomelo,44
46,53,24,pomelo,45
43,77,32,pomelo,50
57,48,34,pomelo,32
27,45,35,pomelo,41
98,84,33,pomelo,30
83,84,32,pomelo,21
81,59,24,pomelo,29
83,9,21,pomelo,37
12,36,26,pomelo,44
81,92,25,pomelo,48
50,75,30,pomelo,43
66,69,39,pomelo,41
77,60,20,pomelo,35
10,11,30,pomelo,50
47,90,20,pomelo,17
87,64,38,pomelo,46
53,96,32,pomelo,27
40,20,39,pomelo,38
97,8,30,pomelo,34
71,26,26,pomelo,49
68,17,35,pomelo,26
59,7,37,pomelo,23
45,51,28,pomelo,18
69,80,21,pomelo,43
68,44,20,pomelo,19
95,29,38,pomelo,47
46,55,29,pomelo,27
47,71,24,pomelo,23
19,17,34,pomelo,46
63,88,27,pomelo,15
49,85,33,pomelo,34
80,31,38,pomelo,45
52,1,26,pomelo,35
26,83,27,pomelo,47
11,92,34,pomelo,12
3,53,30,pomelo,12
41,68,32,pomelo,20
23,45,37,pomelo,49
84,40,23,pomelo,44
77,90,29,pomelo,48
1,65,25,pomelo,15
84,23,34,pomelo,19
15,31,39,pomelo,34
33,2,37,pomelo,19
7,3,34,pomelo,18
32,99,31,pomelo,18
72,45,39,pomelo,28
23,2,20,pomelo,28
95,17,34,pomelo,10
69,55,23,pomelo,14
91,37,36,pomelo,14
10,97,33,pomelo,20
21,92,30,pomelo,42
15,72,34,pomelo,38
27,88,33,pomelo,13
30,81,25,pomelo,12
48,74,20,pomelo,27
42,12,34,pomelo,23
41,47,31,pomelo,34
81,21,39,pomelo,32
73,75,36,pomelo,22
34,31,28,pomelo,14
91,77,30,pomelo,12
87,31,28,pomelo,45
91,31,34,pomelo,37
22,10,35,pomelo,22
23,96,37,pomelo,20
72,37,29,pomelo,17
79,89,39,pomelo,43
81,35,27,pomelo,12
83,48,27,pomelo,35
43,40,39,pomelo,29
62,81,33,pomelo,48
48,46,24,pomelo,20
4,8,37,pomelo,22
27,89,29,pomelo,31
77,5,21,pomelo,38
85,57,36,pomelo,17
25,71,25,pomelo,43
22,79,29,pomelo,27
28,32,32,pomelo,28
38,43,23,pomelo,40
17,6,28,pomelo,24
0,58,23,pomelo,12
85,30,35,pomelo,12
79,19,26,pomelo,35
90,29,25,pomelo,29
70,28,38,pomelo,28
6,60,32,pomelo,15
84,36,22,pomelo,15
68,30,37,pomelo,33
55,92,22,pomelo,20
69,9,34,pomelo,23
87,98,30,pomelo,43
70,53,25,pomelo,19
37,1,25,pomelo,10
99,17,21,pomelo,32
75,66,27,pomelo,18
66,99,20,pomelo,48
23,25,22,pomelo,12
34,40,37,pomelo,17
5,15,37,pomelo,11
87,90,26,pomelo,50
2,49,27,pomelo,30
41,18,32,pomelo,49
52,58,30,pomelo,40
18,53,23,pomelo,34
89,0,22,pomelo,24
88,54,33,pomelo,35
44,99,22,pomelo,28
7,73,30,pomelo,23
6,35,27,pomelo,41
90,67,30,pomelo,24
72,89,38,pomelo,34
20,24,25,pomelo,12
56,44,32,pomelo,25
90,19,28,pomelo,28
57,66,29,pomelo,34
40,77,28,pomelo,24
38,13,38,pomelo,35
18,11,25,pomelo,49
34,91,34,pomelo,33
48,8,26,pomelo,26
87,32,23,pomelo,12
7,31,25,pomelo,16
5,76,36,pomelo,38
8,2,21,pomelo,46
76,72,23,pomelo,27
60,35,21,pomelo,15
92,31,26,pomelo,18
66,23,21,pomelo,42
29,67,33,pomelo,10
52,91,26,pomelo,38
48,41,26,pomelo,38
25,8,29,pomelo,47
88,50,25,pomelo,29
59,94,37,pomelo,33
6,73,26,pomelo,34
53,66,24,pomelo,34
51,12,32,pomelo,12
97,50,31,pomelo,20
83,56,24,pomelo,12
4,67,33,pomelo,21
57,24,33,pomelo,34
85,96,22,pomelo,45
9,18,37,pomelo,14
36,85,27,pomelo,33
55,24,20,pomelo,37
83,88,28,pomelo,20
56,36,35,pomelo,36
40,85,27,pomelo,25
15,85,25,pomelo,32
65,98,37,pomelo,35
94,58,26,pomelo,12
68,31,20,pomelo,41
87,2,35,pomelo,25
9,90,35,pomelo,31
54,48,28,pomelo,26
38,0,20,pomelo,18
75,60,29,pomelo,38
64,46,30,pomelo,37
10,45,28,pomelo,12
48,8,39,pomelo,45
54,70,24,pomelo,10
75,42,33,pomelo,17
41,73,36,pomelo,26
84,40,31,pomelo,44
36,24,33,pomelo,39
68,43,36,pomelo,49
75,77,26,pomelo,47
25,85,33,pomelo,39
31,50,36,pomelo,41
21,84,27,pomelo,13
52,74,33,pomelo,34
26,53,25,pomelo,22
5,32,29,pomelo,22
12,36,24,pomelo,20
30,66,20,pomelo,28
24,23,37,pomelo,23
5,41,20,pomelo,34
62,13,35,pomelo,15
12,77,37,pomelo,23
64,74,26,pomelo,24
